127.0.0.1, 2013-07-23 13:05:31, GET, /my_media, HTTP/1.1, 404, 0.047907
127.0.0.1, 2013-07-23 13:05:31, GET, /favicon.ico, HTTP/1.1, 404, 0.000792
127.0.0.1, 2013-07-23 13:05:41, GET, /member/my_media, HTTP/1.1, 200, 0.363052
127.0.0.1, 2013-07-23 13:05:42, GET, /AnnotatIt/static/css/ext_lib/daterangepicker.css, HTTP/1.1, 200, 0.010704
127.0.0.1, 2013-07-23 13:05:42, GET, /AnnotatIt/static/css/ext_lib/datepicker.css, HTTP/1.1, 200, 0.011654
127.0.0.1, 2013-07-23 13:05:42, GET, /AnnotatIt/static/css/ext_lib/ace-fonts.css, HTTP/1.1, 200, 0.011481
127.0.0.1, 2013-07-23 13:05:42, GET, /AnnotatIt/static/css/ext_lib/chosen.css, HTTP/1.1, 200, 0.013000
127.0.0.1, 2013-07-23 13:05:42, GET, /AnnotatIt/static/css/ext_lib/bootstrap-timepicker.css, HTTP/1.1, 200, 0.011588
127.0.0.1, 2013-07-23 13:05:42, GET, /AnnotatIt/static/css/ext_lib/colorpicker.css, HTTP/1.1, 200, 0.013791
127.0.0.1, 2013-07-23 13:05:42, GET, /AnnotatIt/static/css/ext_lib/ace.min.css, HTTP/1.1, 200, 0.000747
127.0.0.1, 2013-07-23 13:05:42, GET, /AnnotatIt/static/css/ext_lib/ace-responsive.min.css, HTTP/1.1, 200, 0.000820
127.0.0.1, 2013-07-23 13:05:42, GET, /AnnotatIt/static/css/ext_lib/ace-skins.min.css, HTTP/1.1, 200, 0.002486
127.0.0.1, 2013-07-23 13:05:42, GET, /member/assets/avatars/user.jpg, HTTP/1.1, 404, 0.037832
127.0.0.1, 2013-07-23 13:05:42, GET, /AnnotatIt/static/js/ext_lib/ace-elements.min.js, HTTP/1.1, 200, 0.040523
127.0.0.1, 2013-07-23 13:05:42, GET, /AnnotatIt/static/js/ext_lib/ace.min.js, HTTP/1.1, 200, 0.040880
127.0.0.1, 2013-07-23 13:05:43, GET, /AnnotatIt/static/css/font/cJZKeOuBrn4kERxqtaUH3T8E0i7KZn-EPnyo3HZu7kw.woff, HTTP/1.1, 200, 0.020912
127.0.0.1, 2013-07-23 13:05:43, GET, /AnnotatIt/static/css/font/DXI1ORHCpsQm3Vp6mXoaTXhCUOGz7vYGh680lGh-uXM.woff, HTTP/1.1, 200, 0.020704
127.0.0.1, 2013-07-23 13:11:07, GET, /member/my_media, HTTP/1.1, 500, 0.223634
127.0.0.1, 2013-07-23 13:11:07, GET, /favicon.ico, HTTP/1.1, 404, 0.000859
127.0.0.1, 2013-07-23 13:11:09, GET, /admin/default/ticket/AnnotatIt/127.0.0.1.2013-07-23.13-11-07.e4b09546-6375-4bbd-96ea-fa9d8c7c2d57, HTTP/1.1, 303, 0.249316
127.0.0.1, 2013-07-23 13:11:09, GET, /admin, HTTP/1.1, 200, 0.066750
127.0.0.1, 2013-07-23 13:11:10, GET, /favicon.ico, HTTP/1.1, 404, 0.000498
127.0.0.1, 2013-07-23 13:11:14, POST, /admin, HTTP/1.1, 303, 0.055940
127.0.0.1, 2013-07-23 13:11:14, GET, /admin/default/ticket/AnnotatIt/127.0.0.1.2013-07-23.13-11-07.e4b09546-6375-4bbd-96ea-fa9d8c7c2d57, HTTP/1.1, 200, 0.086579
127.0.0.1, 2013-07-23 13:11:14, GET, /favicon.ico, HTTP/1.1, 404, 0.000607
127.0.0.1, 2013-07-23 13:11:23, GET, /admin/default/ticket/AnnotatIt/127.0.0.1.2013-07-23.13-11-07.e4b09546-6375-4bbd-96ea-fa9d8c7c2d57, HTTP/1.1, 200, 0.061350
127.0.0.1, 2013-07-23 13:11:23, GET, /admin/static/js/calendar.js, HTTP/1.1, 200, 0.033466
127.0.0.1, 2013-07-23 13:11:23, GET, /admin/static/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.031698
127.0.0.1, 2013-07-23 13:11:23, GET, /admin/static/css/calendar.css, HTTP/1.1, 200, 0.031934
127.0.0.1, 2013-07-23 13:11:23, GET, /admin/static/js/jquery.js, HTTP/1.1, 200, 0.033407
127.0.0.1, 2013-07-23 13:11:23, GET, /admin/static/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.033978
127.0.0.1, 2013-07-23 13:11:23, GET, /admin/static/js/web2py.js, HTTP/1.1, 200, 0.033347
127.0.0.1, 2013-07-23 13:11:23, GET, /admin/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000583
127.0.0.1, 2013-07-23 13:11:23, GET, /admin/static/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.001769
127.0.0.1, 2013-07-23 13:11:23, GET, /admin/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000770
127.0.0.1, 2013-07-23 13:11:23, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 200, 0.001518
127.0.0.1, 2013-07-23 13:11:23, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.000934
127.0.0.1, 2013-07-23 13:11:23, GET, /AnnotatIt/static/images/annotatit_pencil_200.png, HTTP/1.1, 200, 0.000736
127.0.0.1, 2013-07-23 13:11:23, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001009
127.0.0.1, 2013-07-23 13:11:23, GET, /favicon.ico, HTTP/1.1, 404, 0.000817
127.0.0.1, 2013-07-23 13:11:25, GET, /member/my_media, HTTP/1.1, 200, 0.053872
127.0.0.1, 2013-07-23 13:11:25, GET, /AnnotatIt/static/css/ext_lib/datepicker.css, HTTP/1.1, 304, 0.000694
127.0.0.1, 2013-07-23 13:11:25, GET, /AnnotatIt/static/css/ext_lib/chosen.css, HTTP/1.1, 304, 0.001436
127.0.0.1, 2013-07-23 13:11:25, GET, /AnnotatIt/static/css/ext_lib/colorpicker.css, HTTP/1.1, 304, 0.000556
127.0.0.1, 2013-07-23 13:11:25, GET, /AnnotatIt/static/css/ext_lib/daterangepicker.css, HTTP/1.1, 304, 0.000870
127.0.0.1, 2013-07-23 13:11:25, GET, /AnnotatIt/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.003299
127.0.0.1, 2013-07-23 13:11:25, GET, /AnnotatIt/static/css/ext_lib/bootstrap-timepicker.css, HTTP/1.1, 304, 0.002856
127.0.0.1, 2013-07-23 13:11:25, GET, /AnnotatIt/static/css/ext_lib/ace-fonts.css, HTTP/1.1, 304, 0.001321
127.0.0.1, 2013-07-23 13:11:25, GET, /AnnotatIt/static/css/ext_lib/ace.min.css, HTTP/1.1, 304, 0.000374
127.0.0.1, 2013-07-23 13:11:25, GET, /AnnotatIt/static/css/ext_lib/ace-responsive.min.css, HTTP/1.1, 304, 0.002008
127.0.0.1, 2013-07-23 13:11:25, GET, /AnnotatIt/static/js/ext_lib/ace.min.js, HTTP/1.1, 304, 0.001175
127.0.0.1, 2013-07-23 13:11:25, GET, /AnnotatIt/static/js/ext_lib/ace-elements.min.js, HTTP/1.1, 304, 0.000969
127.0.0.1, 2013-07-23 13:11:25, GET, /AnnotatIt/static/css/ext_lib/ace-skins.min.css, HTTP/1.1, 304, 0.000901
127.0.0.1, 2013-07-23 13:11:25, GET, /member/assets/avatars/user.jpg, HTTP/1.1, 404, 0.040992
127.0.0.1, 2013-07-23 13:12:30, GET, /member/howto.html, HTTP/1.1, 404, 0.041621
127.0.0.1, 2013-07-23 13:12:30, GET, /favicon.ico, HTTP/1.1, 404, 0.001140
127.0.0.1, 2013-07-23 13:12:32, GET, /member/my_media, HTTP/1.1, 200, 0.049825
127.0.0.1, 2013-07-23 13:13:03, GET, /member/add_media, HTTP/1.1, 200, 0.791512
127.0.0.1, 2013-07-23 13:13:03, GET, /member/assets/avatars/user.jpg, HTTP/1.1, 404, 0.026849
127.0.0.1, 2013-07-23 13:16:04, GET, /member/annotate_media, HTTP/1.1, 200, 0.419807
